"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000245532",6.0593459762303e-116,0.960164000340084,0.989,0.917,1.19950812945455e-111,"0","ENSG00000245532"
"ENSG00000235770",4.26755907911663e-112,0.817980153644826,0.938,0.813,8.44805995301928e-108,"0","ENSG00000235770"
"ENSG00000251562",3.84903559758245e-100,0.863682658967186,0.996,0.961,7.61955086897421e-96,"0","ENSG00000251562"
"ENSG00000130203",1.28022623382876e-76,0.535519767852861,1,1,2.53433585248742e-72,"0","ENSG00000130203"
"ENSG00000130208",8.57859257670847e-60,0.358732262358687,1,0.998,1.69821818648521e-55,"0","ENSG00000130208"
"ENSG00000109475",1.28645970908715e-59,0.283243147699655,0.999,0.996,2.54667564010892e-55,"0","ENSG00000109475"
"ENSG00000146278",2.22877968591219e-59,0.357028514569507,0.498,0.252,4.41209226623176e-55,"0","ENSG00000146278"
"ENSG00000267002",4.96494319330743e-55,0.544839527703205,0.615,0.4,9.82860154547139e-51,"0","ENSG00000267002"
"ENSG00000160948",1.84920512108151e-52,0.357392181450448,0.966,0.949,3.66068645769296e-48,"0","ENSG00000160948"
"ENSG00000198886",1.5521444219207e-50,0.496793173999822,0.999,0.965,3.07262509763421e-46,"0","ENSG00000198886"
"ENSG00000165092",6.00377239301083e-50,0.354375842928726,1,0.989,1.18850678292042e-45,"0","ENSG00000165092"
"ENSG00000162576",3.39838051296165e-49,0.40456685618642,0.729,0.584,6.72743406345887e-45,"0","ENSG00000162576"
"ENSG00000002586",2.76870846224191e-48,0.35045731135687,1,0.993,5.48093527185408e-44,"0","ENSG00000002586"
"ENSG00000198804",3.75927579339686e-48,0.48707672884562,1,0.978,7.44186236060843e-44,"0","ENSG00000198804"
"ENSG00000198712",3.66512628490794e-46,0.441323518652753,1,0.989,7.25548399360375e-42,"0","ENSG00000198712"
"ENSG00000104549",1.03924014198081e-45,0.441988265848046,0.875,0.811,2.05727978506521e-41,"0","ENSG00000104549"
"ENSG00000147257",6.15988577350235e-44,0.39650531163435,0.87,0.773,1.21941098772253e-39,"0","ENSG00000147257"
"ENSG00000188243",9.5577699844623e-43,0.327211268999962,0.943,0.929,1.89205614612416e-38,"0","ENSG00000188243"
"ENSG00000112972",7.13755374872055e-42,0.441304133427886,0.547,0.349,1.41295014009672e-37,"0","ENSG00000112972"
"ENSG00000100979",8.92400653604726e-42,0.364313257109547,0.96,0.929,1.76659633387592e-37,"0","ENSG00000100979"
"ENSG00000127184",4.38925572054193e-41,0.265376570135802,0.998,0.992,8.68897062438481e-37,"0","ENSG00000127184"
"ENSG00000205542",4.81515908695286e-41,0.288448532515772,1,0.999,9.53208892853188e-37,"0","ENSG00000205542"
"ENSG00000176046",8.29700956794784e-40,0.547014355012372,0.788,0.679,1.64247601407095e-35,"0","ENSG00000176046"
"ENSG00000205213",1.44632776267001e-39,0.355001693015258,0.937,0.874,2.86315043898154e-35,"0","ENSG00000205213"
"ENSG00000080493",4.33130354945702e-37,0.377660171089156,0.328,0.152,8.57424850650511e-33,"0","ENSG00000080493"
"ENSG00000198888",1.05377464418057e-36,0.422734471081683,0.974,0.905,2.08605228561986e-32,"0","ENSG00000198888"
"ENSG00000149809",4.37818011732982e-36,0.350734501047749,0.596,0.448,8.66704536026611e-32,"0","ENSG00000149809"
"ENSG00000130234",8.36609713837471e-36,0.385807257839643,0.948,0.907,1.65615258951266e-31,"0","ENSG00000130234"
"ENSG00000198727",1.05676220250801e-35,0.454114291344796,0.998,0.971,2.09196645608487e-31,"0","ENSG00000198727"
"ENSG00000132424",3.6128765829553e-35,0.322064423259101,0.865,0.815,7.15205048361831e-31,"0","ENSG00000132424"
"ENSG00000189409",2.24689062242182e-34,0.41122371615671,0.732,0.634,4.44794467614623e-30,"0","ENSG00000189409"
"ENSG00000229807",3.39982731836446e-34,0.37134360414573,0.88,0.778,6.73029815943428e-30,"0","ENSG00000229807"
