"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG000001441362",3.67745154239958e-19,0.25008830589342,0.628,0.324,8.36804098473024e-15,"13","ENSG00000144136"
"ENSG000001120813",4.23138669070901e-19,0.371840078364545,0.985,0.886,9.62852041470835e-15,"13","ENSG00000112081"
"ENSG000001225653",4.65500194196363e-19,0.358825301992544,0.995,0.906,1.05924569189382e-14,"13","ENSG00000122565"
"ENSG000002416851",4.89264982527408e-19,0.332805614029021,0.995,0.962,1.11332246774112e-14,"13","ENSG00000241685"
"ENSG000001553681",5.08792441111145e-19,0.367457898750739,0.985,0.91,1.15775719974841e-14,"13","ENSG00000155368"
"ENSG000001641115",5.26918106384373e-19,0.307444111348749,0.995,0.946,1.19900215107764e-14,"13","ENSG00000164111"
"ENSG000002135853",6.15292418237473e-19,0.348709816757766,1,0.981,1.40009789769937e-14,"13","ENSG00000213585"
"ENSG000001705405",6.3248103197688e-19,0.542028015523891,0.95,0.805,1.43921058826339e-14,"13","ENSG00000170540"
"ENSG000001031212",7.25765345794224e-19,0.318449264959237,0.854,0.606,1.65147904435476e-14,"13","ENSG00000103121"
"ENSG000000900131",7.55266888818009e-19,0.389559530015802,0.99,0.898,1.71860980550538e-14,"13","ENSG00000090013"
"ENSG000001043883",8.195295337129e-19,0.33433868238637,0.935,0.775,1.8648394539637e-14,"13","ENSG00000104388"
"ENSG000001060251",1.20392067288184e-18,0.360645710623119,0.588,0.294,2.73952149114263e-14,"13","ENSG00000106025"
"ENSG000001736744",1.24249952478035e-18,0.34147094165778,0.995,0.969,2.82730766863768e-14,"13","ENSG00000173674"
"ENSG000000765541",1.24267609841548e-18,0.385481114587493,0.98,0.874,2.82770946194442e-14,"13","ENSG00000076554"
"ENSG000001158754",1.52273676988614e-18,0.394116803081672,0.945,0.774,3.46498751987591e-14,"13","ENSG00000115875"
"ENSG000001136483",1.56350452499785e-18,0.347225621740705,0.985,0.915,3.5577545466326e-14,"13","ENSG00000113648"
"ENSG00000112335",1.96074426332544e-18,0.312244761588282,0.985,0.953,4.46167357119703e-14,"13","ENSG00000112335"
"ENSG000001464252",2.41881673105165e-18,0.387591075310948,0.955,0.812,5.50401747150802e-14,"13","ENSG00000146425"
"ENSG000001882905",2.48014736037947e-18,0.299176948711688,0.739,0.404,5.64357531854347e-14,"13","ENSG00000188290"
"ENSG000001616712",2.56878635332037e-18,0.357819165110697,0.945,0.797,5.84527334698049e-14,"13","ENSG00000161671"
"ENSG000001371931",2.59705613559651e-18,0.272706195482295,0.518,0.255,5.90960123654986e-14,"13","ENSG00000137193"
"ENSG000001080552",2.82857574145736e-18,0.30569042402868,0.779,0.492,6.43642409968622e-14,"13","ENSG00000108055"
"ENSG000001354863",3.23525420732247e-18,0.345506286739476,1,0.973,7.36182094876229e-14,"13","ENSG00000135486"
"ENSG000002043923",3.36285687566612e-18,0.325304505113238,0.96,0.806,7.65218082057827e-14,"13","ENSG00000204392"
"ENSG000001531873",3.8850441629373e-18,0.355009112482501,0.99,0.873,8.84041799276382e-14,"13","ENSG00000153187"
"ENSG000000828981",4.26086033896083e-18,0.339384676235002,0.849,0.571,9.69558770130537e-14,"13","ENSG00000082898"
"ENSG000001636824",4.68469319794922e-18,0.33757376380881,1,0.993,1.06600193719335e-13,"13","ENSG00000163682"
