"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000124151",2.30168630013573e-51,0.446392733691928,0.649,0.334,4.97624578089345e-47,"4","ENSG00000124151"
"ENSG00000198074",3.0928645048703e-51,0.753679906423186,0.626,0.294,6.6867730595296e-47,"4","ENSG00000198074"
"ENSG000001289512",4.08088286069983e-51,0.602943570838105,0.766,0.445,8.82286874483304e-47,"4","ENSG00000128951"
"ENSG00000151632",5.04550934775637e-51,0.685137919310473,0.766,0.457,1.09083912098493e-46,"4","ENSG00000151632"
"ENSG00000115009",1.42124276063652e-50,0.3068037213826,0.692,0.31,3.07272684849616e-46,"4","ENSG00000115009"
"ENSG000001639231",1.92818202295005e-50,0.381670066546949,0.568,0.262,4.16872953361801e-46,"4","ENSG00000163923"
"ENSG00000006606",3.29421024627861e-49,0.692158918854119,0.931,0.657,7.12208255245436e-45,"4","ENSG00000006606"
"ENSG00000160446",5.46646641544752e-48,0.268334627302659,0.626,0.294,1.18185003901975e-43,"4","ENSG00000160446"
"ENSG000001084242",5.71961081081038e-48,0.506377579199252,0.933,0.734,1.2365798572972e-43,"4","ENSG00000108424"
"ENSG00000003989",2.54144452592749e-47,0.273539970766567,0.51,0.216,5.49460306505523e-43,"4","ENSG00000003989"
"ENSG00000116133",3.45053011726066e-46,0.354639554341023,0.746,0.429,7.46004611351755e-42,"4","ENSG00000116133"
"ENSG00000107438",5.37781988535295e-46,0.273473379413949,0.647,0.303,1.16268465921331e-41,"4","ENSG00000107438"
"ENSG00000124215",1.09629217971547e-45,0.332602582339061,0.671,0.337,2.37018369254484e-41,"4","ENSG00000124215"
"ENSG00000138449",1.61869085139642e-45,0.389728238455475,0.708,0.386,3.49960962071906e-41,"4","ENSG00000138449"
"ENSG00000137133",2.40934798868208e-45,0.30552435283992,0.716,0.393,5.20901035153065e-41,"4","ENSG00000137133"
"ENSG00000120071",3.01336472157483e-45,0.357038280009899,0.714,0.409,6.51489452804478e-41,"4","ENSG00000120071"
"ENSG00000278558",3.20079933041431e-44,0.403724470530066,0.83,0.539,6.92012815235573e-40,"4","ENSG00000278558"
"ENSG00000134352",4.01195122714954e-43,0.30720028741604,0.585,0.276,8.6738385530973e-39,"4","ENSG00000134352"
"ENSG00000187193",4.68993227850251e-43,0.272622882669674,0.252,0.067,1.01396335861224e-38,"4","ENSG00000187193"
"ENSG000001326461",4.93976935868227e-42,0.440117954898729,0.561,0.267,1.06797813534711e-37,"4","ENSG00000132646"
"ENSG00000141279",1.38411555594717e-41,0.347863292755206,0.802,0.499,2.99245783195779e-37,"4","ENSG00000141279"
"ENSG00000153113",1.5119127934116e-41,0.275562434091805,0.645,0.332,3.26875545935588e-37,"4","ENSG00000153113"
"ENSG00000070882",2.97837097120187e-41,0.267850988053641,0.654,0.336,6.43923803973844e-37,"4","ENSG00000070882"
"ENSG00000121073",3.27111746553048e-41,0.380341568388418,0.77,0.483,7.0721559604769e-37,"4","ENSG00000121073"
