"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000223442",2.22950427186109e-82,0.363648394294976,0.366,0.09,4.76824078622932e-78,"4","ENSG00000223442"
"ENSG00000204525",2.37296124025817e-82,0.659036283114431,0.861,0.594,5.07505220454016e-78,"4","ENSG00000204525"
"ENSG000001052811",2.89013849948419e-82,0.701559496725254,0.937,0.743,6.18113920884683e-78,"4","ENSG00000105281"
"ENSG00000118680",4.64020226363028e-82,0.540345231891946,1,0.99,9.92400058122608e-78,"4","ENSG00000118680"
"ENSG00000172927",7.25078976619711e-82,0.449869398921984,0.52,0.176,1.55072640729658e-77,"4","ENSG00000172927"
"ENSG000001699081",1.80611430953918e-79,0.964424741205161,0.981,0.928,3.86273667381145e-75,"4","ENSG00000169908"
"ENSG00000101608",3.76397620997039e-79,0.493548034650364,1,0.987,8.05001592026368e-75,"4","ENSG00000101608"
"ENSG000001641111",9.33659763527834e-79,0.680976096135883,0.989,0.944,1.99681813625698e-74,"4","ENSG00000164111"
"ENSG00000141524",1.42888612377525e-77,0.432194708415267,0.528,0.196,3.05595875291812e-73,"4","ENSG00000141524"
"ENSG00000187608",1.61189574211424e-76,0.423112233641141,0.514,0.189,3.44736142365971e-72,"4","ENSG00000187608"
"ENSG000001426691",6.5514605866833e-76,0.863885198029354,0.998,0.987,1.40116087567396e-71,"4","ENSG00000142669"
"ENSG00000107223",5.52270309292228e-75,0.580734379859459,0.994,0.963,1.18114051048329e-70,"4","ENSG00000107223"
"ENSG000001059741",1.16306439144752e-74,1.01174939938495,0.72,0.348,2.48744581398881e-70,"4","ENSG00000105974"
"ENSG000000494492",1.88633788569734e-74,0.660252520710524,0.964,0.877,4.03431083614091e-70,"4","ENSG00000049449"
"ENSG00000160213",2.71187153766421e-74,0.485820210526958,1,0.987,5.79987965760245e-70,"4","ENSG00000160213"
"ENSG00000104388",1.76812838469489e-72,0.59678835771031,0.916,0.756,3.78149617634697e-68,"4","ENSG00000104388"
"ENSG000001878402",3.70644165479046e-72,0.713133169406428,0.916,0.699,7.92696676710036e-68,"4","ENSG00000187840"
"ENSG000001680032",9.05260110807339e-72,0.677669195928246,0.979,0.858,1.93607979898366e-67,"4","ENSG00000168003"
"ENSG000001679962",1.00244589954162e-71,0.547398225989473,1,1,2.14393104534965e-67,"4","ENSG00000167996"
"ENSG000001689061",1.54880154420539e-71,0.627440825523871,0.947,0.765,3.31242186259206e-67,"4","ENSG00000168906"
"ENSG00000170315",5.16422487447569e-70,0.534556804936741,0.998,0.981,1.10447277390412e-65,"4","ENSG00000170315"
"ENSG00000187244",2.02538915242533e-69,0.636737368868853,0.884,0.694,4.33169978029206e-65,"4","ENSG00000187244"
"ENSG00000165272",2.21965942568313e-69,0.424090891585248,0.465,0.161,4.74718561370851e-65,"4","ENSG00000165272"
"ENSG00000008513",2.17586064382312e-68,0.317781205354431,0.356,0.096,4.65351315894451e-64,"4","ENSG00000008513"
"ENSG000001355351",2.71067797807512e-68,0.626536204633244,0.968,0.892,5.79732699170927e-64,"4","ENSG00000135535"
"ENSG000001137321",7.26907396328159e-68,0.557711069345239,0.987,0.94,1.55463684852703e-63,"4","ENSG00000113732"
"ENSG00000172531",1.59702073192849e-67,0.537025623059569,0.981,0.919,3.41554823937546e-63,"4","ENSG00000172531"
"ENSG000002325271",4.10521861989324e-67,0.591541908947821,0.92,0.681,8.77983106236567e-63,"4","ENSG00000232527"
"ENSG00000184489",4.11753757336075e-67,0.328966056901782,0.356,0.1,8.80617760814664e-63,"4","ENSG00000184489"
"ENSG000001341931",4.87801442885539e-67,0.801843346317858,0.996,0.986,1.0432609458993e-62,"4","ENSG00000134193"
"ENSG00000136888",3.54598504939386e-66,0.450822309421528,1,0.977,7.58379822513864e-62,"4","ENSG00000136888"
"ENSG00000171928",1.02263546662798e-65,0.402975656616719,0.507,0.208,2.18711047247727e-61,"4","ENSG00000171928"
"ENSG00000166145",2.19753995571034e-65,0.644370266213025,0.838,0.606,4.6998787032777e-61,"4","ENSG00000166145"
"ENSG000000345101",2.75931136024074e-65,0.580164010633519,1,0.999,5.90133920614686e-61,"4","ENSG00000034510"
"ENSG00000243449",2.84672869860829e-65,0.556877444272491,0.956,0.869,6.08829866771356e-61,"4","ENSG00000243449"
"ENSG000001187851",2.90551748047251e-65,0.96381781842752,0.914,0.739,6.21403023548655e-61,"4","ENSG00000118785"
"ENSG00000125977",4.0141895426683e-65,0.552791429205501,0.973,0.886,8.58514717490469e-61,"4","ENSG00000125977"
"ENSG00000147676",1.19985572313246e-64,0.566308468408076,0.867,0.582,2.56613143506339e-60,"4","ENSG00000147676"
"ENSG00000182004",1.26440737802347e-64,0.548445849495945,0.983,0.936,2.70418805937879e-60,"4","ENSG00000182004"
"ENSG00000160932",1.6543180933051e-64,0.634816075744428,0.998,0.98,3.53809010615162e-60,"4","ENSG00000160932"
"ENSG000000316981",2.2498075850225e-64,0.558318206211224,0.956,0.794,4.81166348208762e-60,"4","ENSG00000031698"
"ENSG00000123240",5.596726518553e-64,0.419192157700168,0.514,0.206,1.19697190052293e-59,"4","ENSG00000123240"
"ENSG000000063271",4.67928912019479e-63,0.680716895115936,0.914,0.681,1.00075956413606e-58,"4","ENSG00000006327"
"ENSG00000197747",6.05001642672345e-62,0.580129375176178,1,0.995,1.29391701318335e-57,"4","ENSG00000197747"
"ENSG00000228474",7.20263947110279e-62,0.501996068474865,0.966,0.893,1.54042850368475e-57,"4","ENSG00000228474"
"ENSG00000134285",1.91372004533633e-61,0.26478047320879,0.427,0.14,4.0928730609608e-57,"4","ENSG00000134285"
"ENSG00000172757",1.0005034319009e-60,0.415656192254569,1,0.992,2.13977668980646e-56,"4","ENSG00000172757"
"ENSG00000140264",1.23564448701755e-60,0.344823822707193,1,0.997,2.64267286438444e-56,"4","ENSG00000140264"
"ENSG000001478831",2.66302831290807e-60,0.463511869070578,0.619,0.299,5.69541865281649e-56,"4","ENSG00000147883"
"ENSG00000139835",4.99517771992459e-60,0.395234284917569,0.484,0.198,1.06831865896027e-55,"4","ENSG00000139835"
"ENSG00000106927",9.91757949551381e-60,0.527189180738896,0.385,0.127,2.12107272670554e-55,"4","ENSG00000106927"
"ENSG00000167642",1.59482659712881e-59,0.464707665433139,1,0.987,3.41085564327938e-55,"4","ENSG00000167642"
"ENSG000001774102",2.68074918366472e-59,0.643722688743804,0.962,0.913,5.73331827910373e-55,"4","ENSG00000177410"
"ENSG00000072210",3.20398370937808e-59,0.299746556676054,0.404,0.14,6.85235995924689e-55,"4","ENSG00000072210"
"ENSG00000128595",3.77374867514166e-59,0.55505178078074,0.973,0.872,8.07091629152547e-55,"4","ENSG00000128595"
"ENSG000001751301",4.44832856243726e-59,0.470324919122626,0.992,0.976,9.51364029648456e-55,"4","ENSG00000175130"
"ENSG00000151689",3.30658908172186e-58,0.524278453641255,0.874,0.651,7.07180206907855e-54,"4","ENSG00000151689"
"ENSG00000125991",3.95879400653103e-58,0.487964124672536,0.989,0.944,8.46667274176792e-54,"4","ENSG00000125991"
"ENSG00000181610",4.08229103175502e-58,0.543882394802137,0.939,0.809,8.73079582961445e-54,"4","ENSG00000181610"
"ENSG00000125848",2.39569831174181e-57,0.286670748575505,0.349,0.11,5.12367997932221e-53,"4","ENSG00000125848"
"ENSG00000158516",2.54193026559624e-57,0.298414979519319,0.282,0.072,5.43642625903067e-53,"4","ENSG00000158516"
"ENSG00000112695",2.77857897872047e-57,0.440272854378749,0.998,0.982,5.94254686178948e-53,"4","ENSG00000112695"
"ENSG00000084207",2.78388125972607e-57,0.341581257805903,1,0.998,5.95388685017615e-53,"4","ENSG00000084207"
"ENSG000001553661",4.33842724634232e-57,0.508733635165767,0.992,0.919,9.27859435175232e-53,"4","ENSG00000155366"
"ENSG00000185896",5.0330497145535e-57,0.536971045311584,0.876,0.739,1.07641834245156e-52,"4","ENSG00000185896"
"ENSG00000187735",8.43826769454284e-57,0.548846335272296,0.958,0.853,1.80469231183188e-52,"4","ENSG00000187735"
"ENSG00000130402",1.02161992777927e-56,0.561069533469096,0.949,0.858,2.18493853954152e-52,"4","ENSG00000130402"
"ENSG000001361581",1.22132306158614e-56,0.560250196961795,0.8,0.575,2.61204363181427e-52,"4","ENSG00000136158"
"ENSG00000182718",1.41184590598299e-56,0.595898948314116,0.989,0.977,3.01951483912583e-52,"4","ENSG00000182718"
"ENSG00000111775",1.49408019651978e-56,0.432340762618606,1,0.987,3.19538931629685e-52,"4","ENSG00000111775"
"ENSG00000166595",1.8990257492026e-56,0.493410236068528,0.971,0.931,4.06144636981961e-52,"4","ENSG00000166595"
"ENSG000001760461",4.548749595921e-56,0.715333962755227,0.949,0.879,9.72841076079624e-52,"4","ENSG00000176046"
"ENSG00000137962",7.72277523877632e-56,0.426366523787472,0.501,0.217,1.65166994031709e-51,"4","ENSG00000137962"
"ENSG00000154582",1.09263907085543e-55,0.506680395248202,0.979,0.906,2.33682718083852e-51,"4","ENSG00000154582"
"ENSG00000099246",1.14522398029482e-55,0.476397478529254,0.968,0.905,2.44929052665654e-51,"4","ENSG00000099246"
"ENSG000001162091",2.1965784390316e-55,0.501777473395909,0.975,0.931,4.69782230755689e-51,"4","ENSG00000116209"
"ENSG000001422271",3.30026320057555e-55,0.774435995244657,0.928,0.775,7.05827290707093e-51,"4","ENSG00000142227"
"ENSG000001203061",5.24171046067985e-55,0.498730640982776,1,0.989,1.1210446162256e-50,"4","ENSG00000120306"
"ENSG00000118508",1.28087902234117e-54,0.543243143512232,0.777,0.533,2.73941596508107e-50,"4","ENSG00000118508"
"ENSG00000172889",1.14921691151145e-53,0.557973303215592,0.865,0.729,2.45783020864953e-49,"4","ENSG00000172889"
"ENSG00000128510",1.66616728206198e-53,0.482149300417108,0.404,0.148,3.56343196614595e-49,"4","ENSG00000128510"
"ENSG00000164099",2.51768991120829e-53,0.260775624659766,0.358,0.12,5.38458341310118e-49,"4","ENSG00000164099"
"ENSG00000184840",4.33321896191473e-53,0.476931202104351,0.977,0.921,9.26745539384703e-49,"4","ENSG00000184840"
"ENSG000001805731",1.47250657142746e-52,0.636471253878179,0.758,0.516,3.1492498043119e-48,"4","ENSG00000180573"
"ENSG00000135916",1.47371315097172e-52,0.500279972561753,0.802,0.587,3.15183031598322e-48,"4","ENSG00000135916"
"ENSG00000085063",3.57065218782621e-52,0.545294380085152,0.935,0.817,7.63655383410392e-48,"4","ENSG00000085063"
"ENSG00000171863",3.85816451150749e-52,0.338562838992004,1,0.997,8.25145644076107e-48,"4","ENSG00000171863"
