"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000126254",1.85681826119307e-06,0.439831041651758,0.726,0.641,0.0348729037634671,"6","ENSG00000126254"
"ENSG00000133858",1.87647962698382e-06,0.417114514963332,0.452,0.24,0.0352421638743831,"6","ENSG00000133858"
"ENSG00000143761",1.89668854597852e-06,0.46357214300615,0.855,0.855,0.0356217075820226,"6","ENSG00000143761"
"ENSG00000062194",1.92543645585021e-06,0.555366016320351,0.726,0.555,0.0361616220773229,"6","ENSG00000062194"
"ENSG00000032219",1.94410482695884e-06,0.284427546534915,0.355,0.158,0.036512232755114,"6","ENSG00000032219"
"ENSG00000105583",1.98612012387406e-06,0.49748764148403,0.935,0.953,0.0373013220464788,"6","ENSG00000105583"
"ENSG00000159140",2.03640945844097e-06,0.545763016561954,0.823,0.75,0.0382458060389798,"6","ENSG00000159140"
"ENSG00000105835",2.060917931545e-06,0.473026777864883,0.629,0.467,0.0387060996723466,"6","ENSG00000105835"
"ENSG00000197747",2.18055905278314e-06,0.683825655157994,0.984,0.996,0.0409530795703202,"6","ENSG00000197747"
"ENSG00000122042",2.19786813262943e-06,0.57274801992686,0.71,0.572,0.0412781613989133,"6","ENSG00000122042"
"ENSG00000080802",2.24851854609422e-06,0.483711324721848,0.548,0.362,0.0422294268141956,"6","ENSG00000080802"
"ENSG00000152484",2.27379425994383e-06,0.294843832249527,0.323,0.141,0.042704129996005,"6","ENSG00000152484"
"ENSG00000169905",2.68368933686646e-06,0.432594344478891,0.565,0.361,0.0504023694356889,"6","ENSG00000169905"
"ENSG00000176014",2.81672871579501e-06,0.425677420198834,0.323,0.14,0.0529009820113461,"6","ENSG00000176014"
"ENSG00000134248",2.84812670962392e-06,0.402855870163604,0.968,0.937,0.0534906677334469,"6","ENSG00000134248"
"ENSG00000186594",3.09568492874681e-06,0.413611932964575,0.371,0.178,0.0581400586467939,"6","ENSG00000186594"
"ENSG00000123091",3.13377569382297e-06,0.403452090452691,0.532,0.353,0.0588554413056893,"6","ENSG00000123091"
"ENSG00000167470",3.29446765330531e-06,0.741623073394252,0.629,0.487,0.061873396996727,"6","ENSG00000167470"
"ENSG000001129721",3.37679860126996e-06,0.502618341187119,0.645,0.427,0.0634196545304511,"6","ENSG00000112972"
"ENSG00000054267",3.58475465031806e-06,0.676886804860703,0.613,0.457,0.0673252770876235,"6","ENSG00000054267"
"ENSG00000109670",4.38184117854251e-06,0.352107143674139,0.435,0.238,0.0822953591742068,"6","ENSG00000109670"
"ENSG00000107863",4.5482028306244e-06,0.466127867093869,0.774,0.663,0.0854197973619569,"6","ENSG00000107863"
"ENSG00000122257",4.84124249932518e-06,0.626453653243573,0.581,0.428,0.0909233753798261,"6","ENSG00000122257"
"ENSG00000132510",4.84823322682172e-06,0.450011327248242,0.484,0.299,0.0910546682329388,"6","ENSG00000132510"
"ENSG00000143294",4.86100544988511e-06,0.296671524270375,0.548,0.341,0.0912945433542923,"6","ENSG00000143294"
"ENSG00000167191",4.95635224800096e-06,0.272102523853848,0.29,0.117,0.0930852515697061,"6","ENSG00000167191"
"ENSG00000133226",4.98976937741711e-06,0.61826292712246,0.839,0.799,0.0937128586772707,"6","ENSG00000133226"
"ENSG000001615471",5.17684053378902e-06,0.62773292792344,0.968,0.936,0.0972262420650916,"6","ENSG00000161547"
"ENSG00000137876",5.58609018254391e-06,0.499223404624595,0.919,0.917,0.104912359718357,"6","ENSG00000137876"
"ENSG00000163481",5.62606315436393e-06,0.288838892245678,0.29,0.12,0.105663092102109,"6","ENSG00000163481"
"ENSG00000177426",5.74561947835254e-06,0.665476361603987,0.677,0.583,0.107908479422939,"6","ENSG00000177426"
"ENSG00000169251",5.98566719058547e-06,0.410070738163369,0.677,0.513,0.112416815506386,"6","ENSG00000169251"
"ENSG00000198900",6.04226541507794e-06,0.841338961799574,0.79,0.774,0.113479786760579,"6","ENSG00000198900"
