"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG000001848972",5.32190270633104e-11,0.515474747531255,0.951,0.828,1.10014372745275e-06,"9","ENSG00000184897"
"ENSG000002283001",5.76511700760582e-11,0.283871149909417,0.869,0.637,1.19176498781228e-06,"9","ENSG00000228300"
"ENSG000001677971",8.35047745917810e-11,0.322061792135485,0.77,0.551,1.7262107003613e-06,"9","ENSG00000167797"
"ENSG000001738121",8.67575417499796e-11,0.310292076327443,1,0.99,1.79345190305558e-06,"9","ENSG00000173812"
"ENSG000001153071",8.90516731256079e-11,0.333226159045485,0.926,0.875,1.84087618685257e-06,"9","ENSG00000115307"
"ENSG00000137267",9.55051563264831e-11,0.281301027337528,0.574,0.31,1.97428259158106e-06,"9","ENSG00000137267"
"ENSG000001206941",9.80712712097522e-11,0.294276173859997,0.77,0.546,2.027329318448e-06,"9","ENSG00000120694"
"ENSG000001713142",1.01171393638542e-10,0.322688154000028,1,0.939,2.09141504929593e-06,"9","ENSG00000171314"
"ENSG000001186802",1.11154812321588e-10,0.274705137687745,1,0.991,2.29779228031188e-06,"9","ENSG00000118680"
"ENSG00000184983",1.14926210993908e-10,0.314215527740746,0.811,0.54,2.37575463366606e-06,"9","ENSG00000184983"
"ENSG00000163428",1.16842190522513e-10,0.276791963192642,0.672,0.396,2.41536176248139e-06,"9","ENSG00000163428"
"ENSG00000123983",1.17611883582752e-10,0.335427665984966,0.803,0.616,2.43127285742265e-06,"9","ENSG00000123983"
"ENSG000001403652",1.32689920612739e-10,0.253778630070997,0.811,0.544,2.74296603890654e-06,"9","ENSG00000140365"
"ENSG000002043922",1.33175286127967e-10,0.308797875439394,0.943,0.827,2.75299951483733e-06,"9","ENSG00000204392"
"ENSG000000265082",1.34775338751487e-10,0.372526480465563,0.598,0.33,2.78607580267075e-06,"9","ENSG00000026508"
"ENSG000001080641",1.43969142003647e-10,0.307245286178312,0.828,0.582,2.9761301034994e-06,"9","ENSG00000108064"
"ENSG00000150403",1.46094370090826e-10,0.270286191809807,0.689,0.434,3.02006281851755e-06,"9","ENSG00000150403"
"ENSG00000101596",1.46467223192777e-10,0.260368873545851,0.844,0.571,3.02777043784108e-06,"9","ENSG00000101596"
"ENSG000001205332",1.50581651496012e-10,0.331928161802262,1,0.973,3.11282389972555e-06,"9","ENSG00000120533"
"ENSG000001660021",1.53752210474133e-10,0.276305736897544,0.746,0.474,3.17836569492129e-06,"9","ENSG00000166002"
"ENSG000001150532",1.64871359252693e-10,0.421652621524426,1,0.98,3.40822073847168e-06,"9","ENSG00000115053"
"ENSG000001152551",1.65025879337701e-10,0.29139330079234,0.68,0.397,3.41141497766895e-06,"9","ENSG00000115255"
"ENSG000001531131",1.82284615632831e-10,0.250633136270215,0.59,0.318,3.76818757436189e-06,"9","ENSG00000153113"
"ENSG000001484591",1.82314062894824e-10,0.261570404870377,0.754,0.474,3.7687963081618e-06,"9","ENSG00000148459"
"ENSG000001607891",1.86222071114574e-10,0.310067506346183,0.951,0.759,3.84958265408048e-06,"9","ENSG00000160789"
"ENSG000001684611",1.88231477948173e-10,0.284066452169545,0.656,0.38,3.89112111214463e-06,"9","ENSG00000168461"
"ENSG000001593351",2.17260071452911e-10,0.344738883578361,1,0.992,4.49120019707458e-06,"9","ENSG00000159335"
"ENSG000001193354",2.23813418189162e-10,0.349450715291715,1,0.976,4.62667098080636e-06,"9","ENSG00000119335"
"ENSG000001162212",2.34087104197367e-10,0.290713366271253,0.91,0.736,4.83904861796797e-06,"9","ENSG00000116221"
"ENSG00000102024",2.34995618840625e-10,0.262709117486813,0.656,0.398,4.85782943267339e-06,"9","ENSG00000102024"
"ENSG00000164897",2.86409916770725e-10,0.295941853115424,0.861,0.61,5.92066579948443e-06,"9","ENSG00000164897"
"ENSG000001307062",2.94753276711375e-10,0.311171300551162,0.975,0.836,6.09313973617755e-06,"9","ENSG00000130706"
"ENSG000001810191",2.96694837346314e-10,0.313064969468312,1,0.996,6.13327567762301e-06,"9","ENSG00000181019"
"ENSG00000124831",2.97308475663065e-10,0.34209376801807,0.779,0.538,6.14596080890688e-06,"9","ENSG00000124831"
"ENSG000001120811",2.98191757660475e-10,0.335080927107897,1,0.918,6.16422001435735e-06,"9","ENSG00000112081"
"ENSG000001980742",3.30134873461581e-10,0.301345472075941,0.566,0.295,6.82454810419779e-06,"9","ENSG00000198074"
"ENSG000001696921",3.42949921815325e-10,0.360062572040601,0.926,0.769,7.0894607837664e-06,"9","ENSG00000169692"
"ENSG000001630411",3.43011113531131e-10,0.262700960968767,1,0.993,7.09072573891553e-06,"9","ENSG00000163041"
"ENSG00000129128",3.63165948951219e-10,0.297248282423678,0.844,0.631,7.5073664967196e-06,"9","ENSG00000129128"
"ENSG00000123908",3.75683211290006e-10,0.322530699845567,0.811,0.594,7.76612334378701e-06,"9","ENSG00000123908"
"ENSG000001307482",3.76393495181707e-10,0.323361805501661,0.975,0.94,7.78080633239624e-06,"9","ENSG00000130748"
