"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CMO305",1.20545910995229e-300,1.21529999984874,1,1,2.62621321694205e-296,"0","CMO305"
"ENSG00000235770",5.47400090554076e-282,1.05067010190373,0.89,0.522,1.19256583728111e-277,"0","ENSG00000235770"
"ENSG00000108298",3.24468793879446e-237,0.566178326767148,1,0.994,7.0688771434576e-233,"0","ENSG00000108298"
"ENSG00000114638",2.30235832217313e-212,0.876961389891901,0.918,0.605,5.01591784068637e-208,"0","ENSG00000114638"
"ENSG00000243955",2.83918104858023e-207,0.871729896889716,0.999,0.923,6.1854398324369e-203,"0","ENSG00000243955"
"ENSG00000272398",1.01373191255496e-190,0.65092540330449,0.993,0.89,2.20851634469225e-186,"0","ENSG00000272398"
"ENSG00000135390",2.76628883451793e-186,0.501007994363793,0.998,0.986,6.02663685488077e-182,"0","ENSG00000135390"
"ENSG00000130208",2.64656032134164e-184,0.621769436302017,1,0.995,5.76579631607491e-180,"0","ENSG00000130208"
"ENSG00000168028",7.04102070676432e-176,0.592229488611733,0.999,0.977,1.53395677117568e-171,"0","ENSG00000168028"
"ENSG00000156508",3.04063111705511e-175,0.427965027012145,1,0.998,6.62431895161626e-171,"0","ENSG00000156508"
"ENSG00000108107",1.00198557769528e-172,0.389176087691223,1,0.998,2.18292577956693e-168,"0","ENSG00000108107"
"ENSG00000142168",1.53203225150765e-169,0.597113593595044,0.992,0.905,3.33768546313457e-165,"0","ENSG00000142168"
"ENSG00000148303",5.42379308270065e-167,0.393855817835502,1,0.996,1.18162756099716e-162,"0","ENSG00000148303"
"ENSG00000142676",1.00500795052743e-165,0.406275918711706,1,0.997,2.18951032101907e-161,"0","ENSG00000142676"
"ENSG00000149806",2.75256645460872e-164,0.428061992749717,1,0.993,5.99674127801055e-160,"0","ENSG00000149806"
"ENSG00000100316",8.48271535914728e-162,0.535005547963749,0.995,0.954,1.84804436814383e-157,"0","ENSG00000100316"
"ENSG00000188846",4.80848180767705e-161,0.460262601876476,1,0.986,1.04757584662052e-156,"0","ENSG00000188846"
"ENSG00000117450",3.3697743434372e-156,0.41733049952535,1,0.996,7.34139038461229e-152,"0","ENSG00000117450"
"ENSG00000178980",2.81287641644333e-153,0.600492886944259,0.997,0.975,6.12813256086344e-149,"0","ENSG00000178980"
"ENSG00000140988",4.38186450090882e-149,0.468764618702077,1,0.992,9.54633000167995e-145,"0","ENSG00000140988"
"ENSG00000104408",2.68582133148472e-148,0.552193410722827,0.993,0.942,5.85133035277262e-144,"0","ENSG00000104408"
"ENSG00000168653",3.73171531208606e-147,0.48121547233413,0.994,0.956,8.12991497891068e-143,"0","ENSG00000168653"
"ENSG00000186468",3.17308414829176e-144,0.398404949783271,1,0.994,6.91288112546843e-140,"0","ENSG00000186468"
"ENSG00000214530",1.79978042765196e-140,0.682845253731762,0.963,0.876,3.92100163968255e-136,"0","ENSG00000214530"
"ENSG00000198034",1.22599728531343e-139,0.362444268853817,1,0.997,2.67095768578384e-135,"0","ENSG00000198034"
"ENSG00000198755",2.02544434143229e-139,0.453057504426658,0.997,0.977,4.41263304224438e-135,"0","ENSG00000198755"
"ENSG00000131143",5.75145767604078e-138,0.416639017414001,1,0.988,1.25301256930224e-133,"0","ENSG00000131143"
"ENSG00000063177",1.23385164963408e-137,0.301402009781258,1,0.998,2.6880692038928e-133,"0","ENSG00000063177"
"ENSG00000167641",2.83080131369437e-137,0.614468689810284,0.948,0.862,6.16718374201456e-133,"0","ENSG00000167641"
"ENSG00000127324",3.26950411806241e-135,0.629332673754567,1,0.993,7.12294167161076e-131,"0","ENSG00000127324"
"ENSG00000116251",9.03076954050004e-135,0.370773126742651,1,0.993,1.96744345209334e-130,"0","ENSG00000116251"
"ENSG00000138326",3.34620269969598e-133,0.447719864942361,1,0.995,7.29003720155767e-129,"0","ENSG00000138326"
"ENSG00000197958",4.11184544495814e-130,0.355391534089459,1,0.995,8.9580664863858e-126,"0","ENSG00000197958"
